acpi 1.7-3
acpi_call 1.2.2-34
acpid 2.0.33-1
alacritty 0.10.1-1
alsa-tools 1.2.5-1
alsa-utils 1.2.6-1
arandr 0.1.10-7
atool 0.39.0-8
autoconf 2.71-1
automake 1.16.5-1
awesome-freedesktop-git 1:r117.ac9de0e-1
awesome-git 4.3.1360.gc539e0e43-1
base 2-2
bc 1.07.1-4
binutils 2.38-4
bison 3.8.2-3
bluez 5.64-2
bluez-utils 5.64-2
brightnessctl 0.5.1-2
calc 2.14.0.8-2
cowsay 3.04-2
cups 1:2.4.1-1
dbeaver 22.0.3-1
dhcpcd 9.4.1-1
dialog 1:1.3_20220414-1
dmenu 5.1-1
docker 1:20.10.14-1
dolphin 22.04.0-1
dunst 1.8.1-1
exfat-utils 1.3.0-2
fakeroot 1.28-1
ffmpeg 2:5.0-6
file 5.41-1
findutils 4.9.0-1
flex 2.6.4-3
fortune-mod 3.12.0-1
fzf 0.30.0-1
gawk 5.1.1-1
gcc 11.2.0-4
gettext 0.21-2
git 2.36.0-1
glib 1.2.10-18
gnome-keyring 1:40.0-1
google-chrome 100.0.4896.127-1
gpick 0.2.6-3
grep 3.7-1
groff 1.22.4-7
gzip 1.12-1
highlight 4.2-1
htop 3.1.2-1
i3lock-color 2.13.c.4-1
inetutils 2.2-1
inotify-tools 3.22.1.0-1
intel-ucode 20220419-1
iwd 1.27-1
jq 1.6-4
lain-git 1:r1773.0df20e3-1
libreoffice-fresh 7.3.2-2
libtool 2.4.7-1
linux 5.17.4.arch1-1
linux-firmware 20220411.705f19a-1
linux-headers 5.17.4.arch1-1
lolcat 100.0.1-1
m4 1.4.19-1
maim 5.7.4-3
make 4.3-3
mediainfo 22.03-1
moreutils 0.67-2
mpc 0.34-2
mpd 0.23.6-2
mpdris2 0.9.1-1
mpv 1:0.34.1-4
mtools 1:4.0.39-1
ncmpcpp 0.9.2-6
neofetch 7.1.0-2
neovim 0.7.0-3
network-manager-applet 1.26.0-1
networkmanager 1.36.4-1
networkmanager-openvpn 1.8.18-2
newsboat 2.27-1
